GT,MTurk_Label,dataset,image,x,y
0,0,M1_L_V1_1,img_0.jpg,481.2692260742188,289.2493896484375
0,0,M1_L_V1_1,img_45.jpg,494.7275695800781,292.8932189941406
1,0,M1_L_V1_1,img_90.jpg,497.5231628417969,236.3365173339844
0,0,M1_L_V1_1,img_135.jpg,575.6511840820312,258.5863647460937
0,0,M1_L_V1_1,img_180.jpg,511.2024230957031,285.5997314453125
1,0,M1_L_V1_1,img_225.jpg,523.4439086914062,324.410888671875
0,0,M1_L_V1_1,img_270.jpg,514.9486694335938,316.3684997558594
1,1,M1_L_V1_1,img_315.jpg,496.1096496582031,375.717041015625
1,1,M1_L_V1_1,img_360.jpg,478.5819091796875,299.9168701171875
1,1,M1_L_V1_1,img_405.jpg,401.1837463378906,306.9934387207031
1,1,M1_L_V1_1,img_450.jpg,568.906982421875,333.6596069335937
1,1,M1_L_V1_1,img_495.jpg,490.1225280761719,311.77740478515625
0,1,M1_L_V1_1,img_540.jpg,507.3926696777344,343.7094116210937
1,1,M1_L_V1_1,img_585.jpg,503.7117614746094,280.8639221191406
1,1,M1_L_V1_1,img_630.jpg,505.5476379394531,272.3415832519531
0,0,M1_L_V1_1,img_675.jpg,517.53173828125,270.4541931152344
0,1,M1_L_V1_1,img_720.jpg,511.3260803222656,341.50079345703125
1,1,M1_L_V1_1,img_765.jpg,456.6668395996094,328.0375671386719
1,1,M1_L_V1_1,img_810.jpg,492.0824890136719,239.5420837402344
1,1,M1_L_V1_1,img_855.jpg,486.8992309570313,303.1788330078125
1,1,M1_L_V1_1,img_900.jpg,497.39886474609375,332.1195678710937
1,1,M1_L_V1_1,img_945.jpg,440.3073120117188,287.0800170898437
1,1,M1_L_V1_1,img_990.jpg,552.3269653320312,294.5228576660156
1,1,M1_L_V1_1,img_1035.jpg,593.0335083007812,287.5509948730469
1,1,M1_L_V1_1,img_1080.jpg,522.1272583007812,257.30108642578125
1,1,M1_L_V1_1,img_1125.jpg,522.7783813476562,288.3173217773437
1,1,M1_L_V1_1,img_1170.jpg,510.6285400390625,286.6264038085937
1,1,M1_L_V1_1,img_1215.jpg,497.4073486328125,280.50799560546875
0,1,M1_L_V1_1,img_1260.jpg,511.2429809570313,374.434814453125
1,1,M1_L_V1_1,img_1305.jpg,483.57806396484375,360.7431945800781
1,1,M1_L_V1_1,img_1350.jpg,404.1906433105469,325.8100891113281
1,1,M1_L_V1_1,img_1395.jpg,584.2645263671875,325.6628112792969
1,1,M1_L_V1_1,img_1440.jpg,491.1350708007813,320.592041015625
1,1,M1_L_V1_1,img_1485.jpg,506.9581909179688,362.0915222167969
1,1,M1_L_V1_1,img_1530.jpg,508.0572204589844,318.55792236328125
1,1,M1_L_V1_1,img_1575.jpg,507.6143798828125,297.101806640625
1,1,M1_L_V1_1,img_1620.jpg,507.4944458007813,294.192138671875
0,0,M1_L_V1_1,img_1665.jpg,528.1851196289062,325.13397216796875
1,1,M1_L_V1_1,img_1710.jpg,493.7164916992188,364.79888916015625
0,0,M1_L_V1_2,img_0.jpg,493.84771728515625,256.4061279296875
0,0,M1_L_V1_2,img_45.jpg,438.14642333984375,281.23114013671875
0,0,M1_L_V1_2,img_90.jpg,488.1079406738281,335.4353942871094
0,0,M1_L_V1_2,img_135.jpg,565.011474609375,324.8598327636719
1,1,M1_L_V1_2,img_180.jpg,518.3679809570312,366.1890258789063
1,1,M1_L_V1_2,img_225.jpg,509.5176086425781,342.9031982421875
1,1,M1_L_V1_2,img_270.jpg,510.90924072265625,314.48175048828125
1,1,M1_L_V1_2,img_315.jpg,513.0498046875,259.5585327148437
1,1,M1_L_V1_2,img_360.jpg,570.897216796875,267.9259338378906
1,1,M1_L_V1_2,img_405.jpg,468.9427795410156,255.2330017089844
1,1,M1_L_V1_2,img_450.jpg,517.497802734375,252.38302612304688
1,1,M1_L_V1_2,img_495.jpg,511.5989990234375,279.5163269042969
1,1,M1_L_V1_2,img_540.jpg,521.6380615234375,346.2065734863281
1,1,M1_L_V1_2,img_585.jpg,542.303466796875,285.0642395019531
1,1,M1_L_V1_2,img_630.jpg,489.4314270019531,290.3462829589844
0,0,M1_L_V1_2,img_675.jpg,552.7779541015625,273.5076904296875
0,1,M1_L_V1_2,img_720.jpg,531.5123291015625,346.7999572753906
1,1,M1_L_V1_2,img_765.jpg,545.5899658203125,238.07374572753903
1,1,M1_L_V1_2,img_810.jpg,445.159423828125,245.86331176757807
0,1,M1_L_V1_2,img_855.jpg,510.49603271484375,292.8935546875
1,1,M1_L_V1_2,img_900.jpg,511.37548828125,323.6058349609375
1,1,M1_L_V1_2,img_945.jpg,562.2564086914062,304.2848815917969
1,1,M1_L_V1_2,img_990.jpg,474.9822998046875,270.2094116210937
0,1,M1_L_V1_2,img_1035.jpg,503.0284118652344,320.87225341796875
0,0,M1_L_V1_2,img_1080.jpg,506.6017456054688,302.010009765625
0,0,M1_L_V1_2,img_1125.jpg,507.7243347167969,309.6464233398437
1,1,M1_L_V1_2,img_1170.jpg,507.4579772949219,265.85821533203125
0,1,M1_L_V1_2,img_1215.jpg,498.7160034179688,297.4211120605469
0,0,M1_L_V1_2,img_1260.jpg,525.2445068359375,357.7382202148437
1,1,M1_L_V1_2,img_1305.jpg,513.6835327148438,249.2512969970703
0,0,M1_L_V1_2,img_1350.jpg,497.8061218261719,302.4561767578125
1,1,M1_L_V1_2,img_1395.jpg,484.7474060058594,262.8730163574219
1,1,M1_L_V1_2,img_1440.jpg,483.83782958984375,251.6629180908203
0,0,M1_L_V1_2,img_1485.jpg,557.03271484375,256.9773254394531
0,1,M1_L_V1_2,img_1530.jpg,527.102294921875,336.58673095703125
1,1,M1_L_V1_2,img_1575.jpg,511.9537048339844,235.5683441162109
1,1,M1_L_V1_2,img_1620.jpg,497.101806640625,307.60797119140625
1,1,M1_L_V1_2,img_1665.jpg,494.460205078125,257.0274658203125
1,1,M1_L_V1_2,img_1710.jpg,562.3681030273438,275.4615478515625
0,0,M1_L_V2_1,img_0.jpg,584.5225830078125,243.73097229003903
0,0,M1_L_V2_1,img_45.jpg,584.49560546875,243.87530517578125
0,0,M1_L_V2_1,img_90.jpg,579.732177734375,257.7043151855469
0,0,M1_L_V2_1,img_135.jpg,446.059814453125,150.4652099609375
0,0,M1_L_V2_1,img_180.jpg,592.2839965820312,237.7652130126953
0,0,M1_L_V2_1,img_225.jpg,585.1260375976562,193.62635803222656
0,0,M1_L_V2_1,img_270.jpg,525.2662963867188,357.7784729003906
1,1,M1_L_V2_1,img_315.jpg,459.1493225097656,429.7127380371094
1,1,M1_L_V2_1,img_360.jpg,469.8375854492188,341.2008972167969
1,1,M1_L_V2_1,img_405.jpg,473.6917114257813,362.3217468261719
1,1,M1_L_V2_1,img_450.jpg,561.3109130859375,374.3424987792969
1,1,M1_L_V2_1,img_495.jpg,494.3573913574219,368.3397216796875
1,1,M1_L_V2_1,img_540.jpg,380.4368286132813,375.5410461425781
1,1,M1_L_V2_1,img_585.jpg,490.3326721191406,355.7247009277344
1,1,M1_L_V2_1,img_630.jpg,476.9314575195313,278.6976928710937
1,1,M1_L_V2_1,img_675.jpg,505.4825439453125,368.5513610839844
1,1,M1_L_V2_1,img_720.jpg,502.814208984375,345.4213562011719
1,1,M1_L_V2_1,img_765.jpg,423.7505798339844,322.7308654785156
1,1,M1_L_V2_1,img_810.jpg,500.3437194824219,353.2738342285156
1,1,M1_L_V2_1,img_855.jpg,505.7456359863281,345.8828430175781
1,1,M1_L_V2_1,img_900.jpg,556.5342407226562,357.21905517578125
1,1,M1_L_V2_1,img_945.jpg,424.3680114746094,327.22509765625
0,0,M1_L_V2_1,img_990.jpg,471.2194519042969,314.3250427246094
0,1,M1_L_V2_1,img_1035.jpg,519.2605590820312,370.5978393554688
1,1,M1_L_V2_1,img_1080.jpg,484.1605224609375,390.6442260742188
1,1,M1_L_V2_1,img_1125.jpg,514.4326782226562,329.690185546875
1,1,M1_L_V2_1,img_1170.jpg,616.0386962890625,335.49176025390625
1,1,M1_L_V2_1,img_1215.jpg,401.3670043945313,307.20867919921875
1,1,M1_L_V2_1,img_1260.jpg,498.0381774902344,313.67974853515625
1,1,M1_L_V2_1,img_1305.jpg,525.2574462890625,330.28497314453125
1,1,M1_L_V2_1,img_1350.jpg,515.8223876953125,311.5377197265625
1,1,M1_L_V2_1,img_1395.jpg,523.4077758789062,321.6125793457031
1,1,M1_L_V2_1,img_1440.jpg,531.4339599609375,323.382080078125
1,1,M1_L_V2_1,img_1485.jpg,531.1151733398438,320.9701843261719
0,1,M1_L_V2_1,img_1530.jpg,520.3438720703125,365.6639709472656
